graph_id,function_name,total_cost,time_us,operations_count,vertices,edges,connected,dataset_name
1,Prim,12530.0,10073.2,536,358,536,true,graph_1
1,Kruskal,12530.0,4801.2,1965,358,536,true,graph_1
2,Prim,14155.0,731.5,590,394,590,true,graph_2
2,Kruskal,14155.0,1010.5,2163,394,590,true,graph_2
3,Prim,31825.0,1202.5,1743,969,1743,true,graph_3
3,Kruskal,31825.0,2965.8,6197,969,1743,true,graph_3
4,Prim,23871.0,671.2,685,572,685,true,graph_4
4,Kruskal,23871.0,910.1,2626,572,685,true,graph_4
5,Prim,36871.0,1164.0,1491,995,1491,true,graph_5
5,Kruskal,36871.0,1985.4,5467,995,1491,true,graph_5
6,Prim,28517.0,2067.8,1671,929,1671,true,graph_6
6,Kruskal,28517.0,1840.4,5941,929,1671,true,graph_6
7,Prim,16509.0,780.7,1014,564,1014,true,graph_7
7,Kruskal,16509.0,919.4,3605,564,1014,true,graph_7
8,Prim,31510.0,1011.5,1010,778,1010,true,graph_8
8,Kruskal,31510.0,854.2,3807,778,1010,true,graph_8
9,Prim,16264.0,599.1,524,404,524,true,graph_9
9,Kruskal,16264.0,396.9,1975,404,524,true,graph_9
10,Prim,28756.0,1003.7,1172,782,1172,true,graph_10
10,Kruskal,28756.0,780.2,4297,782,1172,true,graph_10
