graph_id,function_name,total_cost,time_us,operations_count,vertices,edges,connected,dataset_name
1,Prim,2310.0,6956.2,75,59,75,true,graph_1
1,Kruskal,2310.0,2395.6,283,59,75,true,graph_1
2,Prim,6298.0,473.7,186,144,186,true,graph_2
2,Kruskal,6298.0,408.7,701,144,186,true,graph_2
3,Prim,7304.0,570.8,220,170,220,true,graph_3
3,Kruskal,7304.0,497.3,829,170,220,true,graph_3
4,Prim,9514.0,629.7,435,257,435,true,graph_4
4,Kruskal,9514.0,933.4,1561,257,435,true,graph_4
5,Prim,1782.0,352.6,296,85,296,true,graph_5
5,Kruskal,1782.0,521.4,972,85,296,true,graph_5
6,Prim,3438.0,721.1,664,190,664,true,graph_6
6,Kruskal,3438.0,1210.8,2181,190,664,true,graph_6
7,Prim,4626.0,745.3,849,243,849,true,graph_7
7,Kruskal,4626.0,1307.6,2789,243,849,true,graph_7
8,Prim,4503.0,488.7,441,177,441,true,graph_8
8,Kruskal,4503.0,598.8,1499,177,441,true,graph_8
9,Prim,4629.0,735.8,944,270,944,true,graph_9
9,Kruskal,4629.0,1133.8,3101,270,944,true,graph_9
10,Prim,7513.0,357.6,378,223,378,true,graph_10
10,Kruskal,7513.0,494.0,1356,223,378,true,graph_10
